Country name,latitude,longitude
Afghanistan,33.93911,67.709953
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Andorra,42.5063,1.5218
Angola,-11.2027,17.8739
Argentina,-38.4161,-63.6167
Armenia,40.0691,45.0382
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Azerbaijan,40.1431,47.5769
Bahamas,25.0343,-77.3963
Bahrain,26.0667,50.5577
Bangladesh,23.685,90.3563
Barbados,13.1939,-59.5432
Belarus,53.7098,27.9534
Belgium,50.8503,4.3517
Belize,17.1899,-88.4976
Benin,9.3077,2.3158
Bhutan,27.5142,90.4336
Bolivia,-16.2902,-63.5887
Bosnia and Herzegovina,43.9159,17.6791
Botswana,-22.3285,24.6849
Brazil,-14.235,-51.9253
Brunei,4.5353,114.7277
Bulgaria,42.7339,25.4858
Burkina Faso,12.2383,-1.5616
Burundi,-3.3731,29.9189
Cambodia,12.5657,104.991
Cameroon,7.3697,12.3547
Canada,56.1304,-106.3468
Cape Verde,16.5388,-23.0418
Central African Republic,6.6111,20.9394
Chad,15.4542,18.7322
Chile,-35.6751,-71.543
China,35.8617,104.1954
Colombia,4.5709,-74.2973
Comoros,-11.875,43.8722
Congo (Brazzaville),-0.228,15.8277
Congo (Kinshasa),-4.0383,21.7587
Costa Rica,9.7489,-83.7534
Croatia,45.1,15.2
Cuba,21.5218,-77.7812
Cyprus,35.1264,33.4299
Czech Republic,49.8175,15.473
Denmark,56.2639,9.5018
Djibouti,11.8251,42.5903
Dominica,15.415,-61.371
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
Egypt,26.8206,30.8025
El Salvador,13.7942,-88.8965
Equatorial Guinea,1.6508,10.2679
Eritrea,15.1794,39.7823
Estonia,58.5953,25.0136
Eswatini,-26.5225,31.4659
Ethiopia,9.145,40.4897
Fiji,-17.7134,178.065
Finland,61.9241,25.7482
France,46.6034,1.8883
Gabon,-0.8037,11.6094
Gambia,13.4432,-15.3101
Georgia,42.3154,43.3569
Germany,51.1657,10.4515
Ghana,7.9465,-1.0232
Greece,39.0742,21.8243
Grenada,12.1165,-61.679
Guatemala,15.7835,-90.2308
Guinea,9.9456,-9.6966
Guinea-Bissau,11.8037,-15.1804
Guyana,4.8604,-58.9302
Haiti,18.9712,-72.2852
Honduras,15.2,-86.2419
Hungary,47.1625,19.5033
Iceland,64.9631,-19.0208
India,20.5937,78.9629
Indonesia,-0.7893,113.9213
Iran,32.4279,53.688
Iraq,33.2232,43.6793
Ireland,53.4129,-8.2439
Israel,31.0461,34.8516
Italy,41.8719,12.5674
Ivory Coast,7.5399,-5.5471
Jamaica,18.1096,-77.2975
Japan,36.2048,138.2529
Jordan,30.5852,36.2384
Kazakhstan,48.0196,66.9237
Kenya,-1.2921,36.8219
Kiribati,-3.3704,-168.734
Kuwait,29.3117,47.4818
Kyrgyzstan,41.2044,74.7661
Laos,19.8563,102.4955
Latvia,56.8796,24.6032
Lebanon,33.8547,35.8623
Lesotho,-29.6099,28.2336
Liberia,6.4281,-9.4295
Libya,26.3351,17.2283
Liechtenstein,47.166,9.5554
Lithuania,55.1694,23.8813
Luxembourg,49.8153,6.1296
Madagascar,-18.7669,46.8691
Malawi,-13.2543,34.3015
Malaysia,4.2105,101.9758
Maldives,3.2028,73.2207
Mali,17.5707,-3.9962
Malta,35.9375,14.3754
Marshall Islands,7.1315,171.1845
Mauritania,21.0079,-10.9408
Mauritius,-20.3484,57.5522
Mexico,23.6345,-102.5528
Micronesia,7.4256,150.5508
Moldova,47.4116,28.3699
Monaco,43.7384,7.4246
Mongolia,46.8625,103.8467
Montenegro,42.7087,19.3744
Morocco,31.7917,-7.0926
Mozambique,-18.6657,35.5296
Myanmar (Burma),21.9162,95.956
Namibia,-22.9576,18.4904
Nauru,-0.5228,166.9315
Nepal,28.3949,84.124
Netherlands,52.1326,5.2913
New Zealand,-40.9006,174.886
Nicaragua,12.8654,-85.2072
Niger,17.6078,8.0817
Nigeria,9.082,8.6753
North Korea,40.3399,127.5101
North Macedonia,41.6086,21.7453
Norway,60.472,8.4689
Oman,21.4735,55.9754
Pakistan,30.3753,69.3451
Palau,7.5149,134.5825
Panama,8.5379,-80.7821
Papua New Guinea,-6.314993,143.95555
Paraguay,-23.4425,-58.4438
Peru,-9.19,-75.0152
Philippines,12.8797,121.774
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Qatar,25.3548,51.1839
Romania,45.9432,24.9668
Russia,61.524,105.3188
Rwanda,-1.9403,29.8739
Saint Kitts and Nevis,17.3578,-62.782998
Saint Lucia,13.9094,-60.9789
Saint Vincent and the Grenadines,12.9843,-61.2872
Samoa,-13.759,172.1046
San Marino,43.9424,12.4578
Sao Tome and Principe,0.1864,6.6131
Saudi Arabia,23.8859,45.0792
Senegal,14.4974,-14.4524
Serbia,44.0165,21.0059
Seychelles,-4.6796,55.492
Sierra Leone,8.4606,-11.7799
Singapore,1.3521,103.8198
Slovakia,48.669,19.699
Slovenia,46.1512,14.9955
Solomon Islands,-9.6457,160.1562
Somalia,5.1521,46.1996
South Africa,-30.5595,22.9375
South Korea,35.9078,127.7669
South Sudan,6.877,31.307
Spain,40.4637,-3.7492
Sri Lanka,7.8731,80.7718
Sudan,12.8628,30.2176
Suriname,3.9193,-56.0278
Sweden,60.1282,18.6435
Switzerland,46.8182,8.2275
Syria,34.8021,38.9968
Taiwan,23.6978,120.9605
Tajikistan,38.861,71.2761
Tanzania,-6.369028,34.888822
Thailand,15.870032,100.9925
Timor-Leste,-8.874217,125.727539
Togo,8.619543,0.824782
